region,url,fpath,granule_id,dataset_id,start_time,end_time,spatial_extent
urban,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023241.h09v06.061.2023251215934/MOD11A2.A2023241.h09v06.061.2023251215934.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023241.h09v06.061.2023251215934.cmr.xml,G2764330615-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-29T00:00:00.000Z,2023-09-05T23:59:59.000Z,N/A
urban,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023241.h09v06.061.2023251215934/MOD11A2.A2023241.h09v06.061.2023251215934.cmr.xml,./data/MODIS-LST/urban/MOD11A2.A2023241.h09v06.061.2023251215934.cmr.xml,G2764330615-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-29T00:00:00.000Z,2023-09-05T23:59:59.000Z,N/A
urban,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/urban/MOD11A2.061,G2764330615-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-08-29T00:00:00.000Z,2023-09-05T23:59:59.000Z,N/A
rural,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023145.h09v05.061.2023154041457/MOD11A2.A2023145.h09v05.061.2023154041457.hdf,./data/MODIS-LST/rural/MOD11A2.A2023145.h09v05.061.2023154041457.hdf,G2704231280-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-05-25T00:00:00.000Z,2023-06-01T23:59:59.000Z,N/A
rural,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023145.h09v05.061.2023154041457/MOD11A2.A2023145.h09v05.061.2023154041457.cmr.xml,./data/MODIS-LST/rural/MOD11A2.A2023145.h09v05.061.2023154041457.cmr.xml,G2704231280-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-05-25T00:00:00.000Z,2023-06-01T23:59:59.000Z,N/A
rural,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023145.h09v05.061.2023154041457/MOD11A2.A2023145.h09v05.061.2023154041457.cmr.xml,./data/MODIS-LST/rural/MOD11A2.A2023145.h09v05.061.2023154041457.cmr.xml,G2704231280-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-05-25T00:00:00.000Z,2023-06-01T23:59:59.000Z,N/A
rural,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/rural/MOD11A2.061,G2704231280-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-05-25T00:00:00.000Z,2023-06-01T23:59:59.000Z,N/A
rural,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023153.h09v05.061.2023164034529/MOD11A2.A2023153.h09v05.061.2023164034529.hdf,./data/MODIS-LST/rural/MOD11A2.A2023153.h09v05.061.2023164034529.hdf,G2709350019-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-02T00:00:00.000Z,2023-06-09T23:59:59.000Z,N/A
rural,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023153.h09v05.061.2023164034529/MOD11A2.A2023153.h09v05.061.2023164034529.cmr.xml,./data/MODIS-LST/rural/MOD11A2.A2023153.h09v05.061.2023164034529.cmr.xml,G2709350019-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-02T00:00:00.000Z,2023-06-09T23:59:59.000Z,N/A
rural,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023153.h09v05.061.2023164034529/MOD11A2.A2023153.h09v05.061.2023164034529.cmr.xml,./data/MODIS-LST/rural/MOD11A2.A2023153.h09v05.061.2023164034529.cmr.xml,G2709350019-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-02T00:00:00.000Z,2023-06-09T23:59:59.000Z,N/A
rural,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/rural/MOD11A2.061,G2709350019-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-02T00:00:00.000Z,2023-06-09T23:59:59.000Z,N/A
rural,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023161.h09v05.061.2023170174847/MOD11A2.A2023161.h09v05.061.2023170174847.hdf,./data/MODIS-LST/rural/MOD11A2.A2023161.h09v05.061.2023170174847.hdf,G2715598329-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-10T00:00:00.000Z,2023-06-17T23:59:59.000Z,N/A
rural,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/MOD11A2.061/MOD11A2.A2023161.h09v05.061.2023170174847/MOD11A2.A2023161.h09v05.061.2023170174847.cmr.xml,./data/MODIS-LST/rural/MOD11A2.A2023161.h09v05.061.2023170174847.cmr.xml,G2715598329-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-10T00:00:00.000Z,2023-06-17T23:59:59.000Z,N/A
rural,s3://lp-prod-protected/MOD11A2.061/MOD11A2.A2023161.h09v05.061.2023170174847/MOD11A2.A2023161.h09v05.061.2023170174847.cmr.xml,./data/MODIS-LST/rural/MOD11A2.A2023161.h09v05.061.2023170174847.cmr.xml,G2715598329-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-10T00:00:00.000Z,2023-06-17T23:59:59.000Z,N/A
rural,https://doi.org/10.5067/MODIS/MOD11A2.061,./data/MODIS-LST/rural/MOD11A2.061,G2715598329-LPCLOUD,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V061,2023-06-10T00:00:00.000Z,2023-06-17T23:59:59.000Z,N/A
